FSC-H,SSC-H,FITC-H,PI-H,PerCP-H,APC-H,FSC-A,SSC-A,FITC-A,PI-A,PerCP-A,APC-A,Width,Time
425414,1419716,11031,609232,2312153,3966,280017,749282,18884,978893,3768769,359,77,121.800
945439,2181425,14082,875545,3327296,4193,621183,1308929,28187,1584408,6106205,-165,91,121.800
609088,1746132,14297,605311,2308636,4402,348867,831654,25468,1075580,4132220,8184,74,121.800
152462,397593,653,6665,35886,22830,53524,132272,1331,9857,55178,37057,45,121.800
1036531,2079146,19282,1105695,4241947,10602,676883,1387320,33989,1708147,6657887,34766,91,121.800
987913,2251048,11975,660436,2552779,4531,548891,1054259,19291,1028420,4000539,433,78,121.800
560662,1638215,17195,1092393,4189896,6123,359353,897366,31611,1939194,7463813,11653,79,121.800
696284,1834824,13027,726299,2842414,9126,466080,976232,21227,1086346,4262109,31105,79,121.800
663939,2651562,19242,1045742,3992707,1026,521811,1627838,36880,1971314,7605129,-21246,88,126.800
733061,2034169,16254,1083737,4102548,10132,468539,1171139,32103,2002866,7625828,43286,83,126.800
1029739,1550561,12748,658280,2535486,7004,530927,732078,20757,1010092,3943316,16233,77,126.800
1687435,3688020,35462,1972811,7432828,14168,1242570,2665199,73298,3375856,1.290854E+07,39111,101,126.800
471837,1499216,11530,663281,2560638,4989,290586,818295,19979,1047389,4090838,15829,75,126.800
1242333,2513322,22210,1339111,5050490,8118,1038902,1627655,43577,2176464,8337263,19055,92,126.800
594046,1539199,17298,1096003,4196288,9081,412989,1003328,31439,1805776,6979231,21236,74,126.800
763505,1479906,10877,700857,2690413,4359,419539,604308,18597,1058660,4069121,8002,64,126.800
861250,2124779,19496,1145612,4420706,5773,564802,1225291,33824,1985812,7711086,-912,79,126.800
620106,1584183,10670,558046,2147094,2808,383269,844620,20420,976846,3809379,-5191,75,126.800
1131144,1840718,20527,1312513,4940987,4688,788940,1157104,37342,2099052,8011528,4400,84,126.800
1120390,2277833,20692,1101628,4280332,11596,1002017,1860702,66857,3650057,1.425288E+07,50766,103,126.800
1259524,2049292,13175,673091,2618529,5565,677846,1017600,20478,1060963,4148811,13060,82,126.800
706959,3193617,16188,1032785,3973080,4456,590694,2184066,34140,1911078,7420452,-3935,92,126.800
851189,1842943,14274,884183,3448430,31152,509207,990237,22830,1241046,4863809,45497,80,126.800
808321,2001497,11656,771419,2931885,6686,561984,1104999,21196,1126012,4329423,9824,85,126.800
877008,2007244,17581,1033277,3998794,5873,603208,1177826,34972,2016664,7805154,-1482,84,126.800
672218,1629953,12020,587582,2255790,2357,456920,854208,21158,1030279,3990605,-6533,80,131.800
715342,1487903,12401,628812,2463959,4531,466263,740819,21212,1001203,3917009,6578,79,131.800
967685,2154626,18204,1041526,4018927,6024,696449,1189148,36160,1956748,7580906,4850,84,131.800
284634,202673,6253,495396,1889206,4548,100661,103478,12301,1022898,3925557,13291,68,131.800
750557,2113096,11629,767581,2946942,5741,410220,1084303,21501,1468689,5688631,7454,82,131.800
574739,1759455,16188,941837,3587031,52388,408300,1041349,32825,1832484,7004434,58812,81,131.800
758387,2227834,19646,1179250,4488859,6256,555703,1295644,41047,2099538,8027384,548,88,131.800
547306,1495632,11472,710242,2733391,6419,353085,826112,18866,1039254,4027087,20080,78,131.800
605604,1541044,12764,677923,2607706,10578,374638,709432,20700,1014842,3946933,31391,72,131.800
833089,3783000,26581,1459564,5573934,9268,806908,2638669,66466,3367251,1.294612E+07,16039,102,131.800
841266,1720234,12523,730952,2837757,20078,525839,1011626,24123,1080508,4242304,51305,155,131.800
367992,1407711,5331,31676,146758,8209,175217,632818,8243,53548,269854,26357,60,131.800
1043077,1736684,10493,695909,2653631,4911,537825,821788,19442,1040280,4019486,17325,73,131.800
1295038,2021638,18432,1210058,4615212,9366,668120,1095526,34111,1828488,7060040,20145,78,131.800
2106040,2290430,20221,1224953,4731022,7951,963611,1070507,42958,1934244,7589121,21690,80,131.800
1200108,2640276,13468,445176,1733486,3715,706118,1335322,25145,848701,3350165,11221,82,131.800
1557470,2051068,23396,1254234,4766739,6101,817089,1135377,40214,1992320,7619078,1242,76,136.800
548436,1234309,11828,646108,2489705,9112,293874,606566,19252,1016519,3945330,34221,77,136.800
1449183,2206372,14028,740616,2865048,6023,982864,1308121,25148,1021647,4027447,21273,88,136.800
1219607,2283203,18543,999019,3838187,7161,738862,1360275,33765,1661856,6451318,16142,80,136.800
954485,2706055,16018,959114,3690509,8757,561128,1474926,35643,1997967,7706635,28552,78,136.800
170324,32342,297,400,2284,1180,44611,3972,156,107,2879,-865,36,136.800
1682308,4126909,16940,724171,2825411,5499,1452141,3261580,52822,2130464,8378679,20908,111,136.800
913023,1855698,14120,681158,2620118,3508,467504,860855,22989,1063278,4136907,-2033,69,136.800
1504526,3285671,12827,591115,2247194,1285,949763,1639459,26102,1126324,4287999,-15166,81,136.800
825304,1276678,12781,725223,2776970,3762,408950,589799,19492,1046005,4023198,1539,80,141.800
494032,1641813,11926,696856,2662373,4103,320088,941207,20770,1007417,3878607,8687,80,141.800
848548,3297156,18371,932544,3621974,4451,640393,2404810,43907,1910553,7466153,-2624,99,141.800
1199030,2692299,21542,1118600,4336571,9593,852860,1453837,41717,2017192,7879571,-3142,82,141.800
1759306,2032871,21885,1244376,4800596,7660,1070685,1083047,36021,1826059,7082595,7206,79,141.800
649950,1300090,12535,636189,2476770,4246,368888,639964,19424,1001081,3908155,5576,74,141.800
873973,1629592,14536,709688,2731010,3706,560004,803535,24370,1011885,3920428,866,78,141.800
789942,1431481,11373,715798,2737396,6427,430472,673199,17323,986418,3794939,5547,77,141.800
1233411,2419299,17628,1004529,3839921,7682,688475,1414073,37318,2036610,7826628,25194,95,146.800
647034,1711018,10372,664795,2588850,5979,452163,837044,20309,1037978,4080443,11048,81,146.800
434317,1341746,10825,648274,2475201,4712,266366,635999,17734,1017990,3926716,5293,77,146.800
1235517,1601597,13869,726963,2811692,4910,628373,780781,21377,1027138,4000266,11560,79,146.800
482565,1657929,10418,664232,2585548,14719,265915,891068,18843,1017002,3954783,19518,72,146.800
