FSC-H,SSC-H,FITC-H,PE-H,FSC-A,SSC-A,FITC-A,PE-A,Width,Time
109405,446288,1987,9741,63603,196136,2975,15620,62,27701.801
564233,2140675,14752,559904,355733,1110949,41283,2090307,129,27701.801
974297,2398831,10237,557184,624976,1531111,31412,1654328,147,27706.801
932351,2031051,15874,820717,642318,1565809,53025,2686500,115,27706.801
1233253,2645559,15098,594461,615473,1232445,28915,1073428,77,27706.801
759405,1548603,15451,708473,583295,973211,36314,1798547,88,27706.801
796005,2079616,15134,542091,448216,1149610,29909,1115889,82,27706.801
795382,3018820,15475,773630,424010,1430135,43613,1994529,103,27706.801
852467,1676174,12502,559627,475257,888168,25708,1074360,80,27711.801
1251407,2218158,17561,1021290,665215,1143509,39315,2075610,88,27711.801
906244,961716,11743,700781,643347,808203,35020,1949936,102,27716.801
997919,2366742,18811,905854,619583,1399442,48760,2561737,99,27716.801
662146,1423588,10101,537558,380871,796727,21869,1020337,84,27716.801
763660,1128583,7457,369551,432014,729531,22487,1081127,94,27716.801
654718,1645100,14508,846839,400990,1075172,41762,2051922,93,27721.801
461327,1227471,10604,522493,337041,758716,24295,1092363,87,27721.801
1560274,2010839,12842,601836,617868,930428,24999,1057247,83,27726.801
384309,1772954,13775,472558,316061,1155474,42283,2019728,137,27726.801
664813,734543,6091,224870,404235,513023,31517,1697013,166,27726.801
564272,1621052,10904,322648,593532,1388268,44207,1950579,168,27726.801
909704,2133022,16309,679167,418461,1066917,35836,1744566,73,27726.801
153190,212522,4060,252915,162373,304951,26971,1828621,168,27726.801
647243,2348862,16324,820694,488719,1553919,43853,2034975,93,27726.801
1194732,1765370,16963,855410,771588,1228910,43883,2088719,101,27726.801
1816484,4525535,32579,1479591,1277019,3212900,88885,3968641,102,27726.801
1622011,5098969,34876,1350307,1849192,4911511,133257,5802721,162,27726.801
824862,797046,9173,457897,524644,649218,39054,2032173,114,27726.801
515788,1698948,13715,778774,352386,926404,34011,2006004,83,27731.801
912598,1763072,13426,523070,824492,1501667,45670,2048997,121,27731.801
671418,2209097,18056,823030,508761,1511364,44775,2031543,112,27731.801
1286475,1430347,10611,453231,553277,658339,32181,1681874,114,27731.801
931932,1290680,11586,548557,537003,754230,24596,1044252,73,27731.801
1175957,2231287,16830,885686,573986,1173957,39757,1999260,85,27731.801
1612280,3828926,21881,951923,1011444,2192956,45123,1667802,89,27731.801
