seq,xcol, ycol
932,614.0, 491.0
933,474.0, 47.0
934,970.0, 0.0
935,3662.0, 68.0
936,618.0, 142.0
937,916.0, 0.0
938,580.0, 114.0
939,522.0, 0.0
940,47303.0, 742.0
941,1200.0, 6.0
942,533.0, 0.0
943,1098.0, 485.0
944,646.0, 193.0
945,862.0, 341.0
946,751.0, 24689.0
947,732.0, 604.0
948,3304.0, 0.0
949,579.0, 13.0
950,622.0, 1794.0
951,8158.0, 459.0
952,747.0, 0.0
953,695.0, 23.0
954,805.0, 0.0
955,7081.0, 814.0
956,493.0, 179.0
957,747.0, 0.0
958,691.0, 55.0
959,1545.0, 650.0
960,604.0, 228.0
961,876.0, 1585.0
962,691.0, 0.0
963,4309.0, 27814.0
964,545.0, 249.0
965,714.0, 0.0
966,1095.0, 0.0
967,566.0, 178.0
968,545.0, 0.0
969,10879.0, 0.0
970,1210.0, 230.0
971,4261.0, 908.0
972,608.0, 0.0
973,1491.0, 1272.0
974,636.0, 0.0
975,601.0, 0.0
976,523.0, 3987.0
977,520.0, 0.0
978,776.0, 400.0
979,625.0, 0.0
980,889.0, 0.0
981,555.0, 383.0
982,1655.0, 205.0
983,528.0, 316.0
984,665.0, 1642.0
985,856.0, 0.0
986,916.0, 4385.0
987,637.0, 11.0
988,55938.0, 181.0
989,671.0, 0.0
990,1491.0, 1.0
991,609.0, 0.0
992,884.0, 252.0
993,3222.0, 378.0
994,682.0, 0.0
995,6226.0, 1197.0
996,541.0, 266.0
997,687.0, 0.0
998,749.0, 0.0
999,526.0, 0.0
1000,609.0, 0.0
1001,720.0, 76.0
1002,776.0, 0.0
1003,485.0, 0.0
1004,639.0, 53.0
1005,700.0, 0.0
1006,554.0, 3623.0
1007,11502.0, 0.0
1008,825.0, 239.0
1009,542.0, 168.0
1010,1046.0, 0.0
1011,827.0, 0.0
1012,544.0, 48.0
1013,726.0, 450.0
1014,1056.0, 429.0
1015,1032.0, 378.0
1016,606.0, 0.0
1017,14067.0, 313.0
1018,653.0, 41.0
1019,585.0, 0.0
1020,968.0, 0.0
1021,5104.0, 5052.0
1022,17118.0, 29.0
1023,3472.0, 0.0
1024,554.0, 347.0
